iter	Passed	Remaining
0	400	399729
1	645	321957
2	894	297245
3	1149	286267
4	1396	277932
5	1644	272437
6	1896	268992
7	2137	265043
8	2397	263955
9	2683	265666
10	2936	264026
11	3201	263572
12	3482	264377
13	3730	262755
14	4002	262827
15	4257	261854
16	4507	260667
17	4753	259326
18	5008	258591
19	5275	258490
20	5531	257856
21	5802	257937
22	6075	258083
23	6324	257213
24	6577	256529
25	6824	255671
26	7077	255061
27	7361	255560
28	7624	255277
29	7870	254470
30	8143	254554
31	8401	254135
32	8658	253731
33	8919	253414
34	9165	252701
35	9405	251871
36	9679	251933
37	9954	252008
38	10219	251824
39	10496	251927
40	10759	251656
41	11063	252355
42	11392	253543
43	11708	254400
44	12003	254745
45	12295	255003
46	12603	255551
47	12920	256261
48	13225	256690
49	13521	256913
50	13804	256880
51	14073	256563
52	14343	256292
53	14614	256023
54	14895	255936
55	15199	256225
56	15486	256211
57	15818	256922
58	16087	256588
59	16337	255960
60	16628	255970
61	16928	256113
62	17165	255299
63	17423	254814
64	17701	254631
65	17993	254633
66	18270	254418
67	18549	254231
68	18795	253609
69	19082	253528
70	19346	253143
71	19641	253155
72	19917	252925
73	20200	252776
74	20469	252453
75	20739	252145
76	21008	251824
77	21251	251209
78	21520	250887
79	21769	250350
80	22011	249731
81	22306	249720
82	22565	249302
83	22805	248690
84	23062	248265
85	23291	247540
86	23571	247362
87	23854	247217
88	24120	246892
89	24365	246366
90	24632	246058
91	24868	245436
92	25092	244719
93	25374	244565
94	25635	244207
95	25878	243693
96	26174	243661
97	26428	243248
98	26705	243043
99	26984	242857
100	27271	242747
101	27530	242376
102	27777	241905
103	28013	241346
104	28281	241068
105	28538	240695
106	28788	240266
107	29043	239881
108	29298	239491
109	29536	238980
110	29756	238320
111	29983	237725
112	30255	237493
113	30520	237200
114	30777	236852
115	31027	236447
116	31264	235953
117	31551	235833
118	31820	235580
119	32039	234957
120	32305	234684
121	32563	234348
122	32815	233979
123	33105	233874
124	33365	233555
125	33653	233436
126	33950	233373
127	34196	232960
128	34429	232462
129	34691	232163
130	34946	231817
131	35193	231424
132	35452	231106
133	35665	230498
134	35960	230411
135	36175	229823
136	36416	229395
137	36677	229101
138	36904	228595
139	37134	228114
140	37396	227825
141	37674	227639
142	37936	227354
143	38149	226778
144	38376	226288
145	38626	225936
146	38889	225665
147	39118	225197
148	39377	224902
149	39631	224577
150	39868	224158
151	40124	223854
152	40392	223610
153	40656	223346
154	40916	223062
155	41193	222867
156	41475	222697
157	41768	222588
158	42030	222314
159	42252	221824
160	42491	221429
161	42803	221413
162	43044	221034
163	43297	220714
164	43550	220391
165	43817	220143
166	44078	219864
167	44294	219364
168	44589	219255
169	44875	219095
170	45174	219003
171	45408	218592
172	45651	218228
173	45874	217770
174	46082	217243
175	46299	216765
176	46530	216351
177	46776	216013
178	47023	215679
179	47304	215499
180	47541	215118
181	47773	214717
182	48036	214457
183	48223	213862
184	48473	213546
185	48687	213074
186	48936	212754
187	49185	212438
188	49423	212077
189	49667	211741
190	49904	211376
191	50162	211102
192	50402	210748
193	50682	210569
194	50906	210152
195	51164	209877
196	51420	209598
197	51675	209313
198	51918	208979
199	52194	208778
200	52450	208496
201	52692	208161
202	52935	207830
203	53218	207654
204	53463	207332
205	53692	206950
206	53939	206638
207	54190	206341
208	54458	206106
209	54662	205633
210	54888	205244
211	55145	204976
212	55421	204772
213	55689	204542
214	55912	204145
215	56136	203755
216	56392	203479
217	56688	203351
218	56884	202862
219	57172	202704
220	57451	202510
221	57705	202230
222	57936	201867
223	58190	201588
224	58449	201326
225	58686	200989
226	58913	200618
227	59174	200361
228	59416	200042
229	59646	199687
230	59880	199341
231	60120	199021
232	60337	198621
233	60616	198429
234	60891	198220
235	61171	198028
236	61482	197938
237	61708	197570
238	61940	197224
239	62179	196900
240	62447	196671
241	62704	196404
242	62894	195931
243	63114	195552
244	63343	195201
245	63619	194997
246	63854	194666
247	64069	194275
248	64334	194036
249	64591	193775
250	64812	193403
251	65040	193056
252	65312	192838
253	65554	192535
254	65816	192288
255	66063	191997
256	66338	191788
257	66556	191414
258	66814	191155
259	66989	190662
260	67209	190299
261	67446	189983
262	67731	189803
263	68034	189670
264	68267	189345
265	68497	189010
266	68715	188646
267	68995	188450
268	69231	188133
269	69484	187865
270	69684	187454
271	69864	186990
272	70099	186674
273	70334	186360
274	70552	186002
275	70769	185641
276	71026	185387
277	71226	184984
278	71426	184582
279	71662	184274
280	71878	183915
281	72110	183600
282	72354	183315
283	72583	182992
284	72819	182686
285	73006	182260
286	73226	181918
287	73473	181641
288	73696	181307
289	73907	180946
290	74145	180650
291	74395	180382
292	74636	180095
293	74948	179978
294	75188	179686
295	75381	179286
296	75592	178928
297	75830	178634
298	76068	178342
299	76277	177981
300	76541	177749
301	76754	177399
302	77000	177125
303	77223	176800
304	77446	176475
305	77670	176155
306	77902	175851
307	78130	175539
308	78321	175146
309	78529	174790
310	78701	174357
311	78917	174022
312	79109	173637
313	79302	173254
314	79575	173044
315	79872	172889
316	80135	172657
317	80391	172412
318	80600	172065
319	80829	171763
320	81112	171575
321	81375	171342
322	81621	171076
323	81847	170768
324	82092	170500
325	82342	170241
326	82593	169985
327	82846	169734
328	83091	169467
329	83314	169153
330	83567	168902
331	83833	168676
332	84085	168422
333	84266	168027
334	84494	167728
335	84738	167459
336	84923	167075
337	85175	166823
338	85417	166551
339	85644	166250
340	85860	165929
341	86066	165590
342	86236	165182
343	86446	164851
344	86704	164613
345	86948	164347
346	87272	164233
347	87512	163961
348	87794	163765
349	88015	163458
350	88236	163150
351	88447	162824
352	88639	162463
353	88906	162241
354	89158	161991
355	89335	161606
356	89582	161348
357	89812	161061
358	90083	160846
359	90319	160567
360	90520	160229
361	90772	159980
362	90980	159654
363	91179	159313
364	91454	159106
365	91643	158748
366	91915	158535
367	92163	158281
368	92434	158065
369	92660	157772
370	92887	157483
371	93151	157256
372	93379	156966
373	93554	156591
374	93785	156308
375	93980	155967
376	94175	155627
377	94405	155345
378	94640	155070
379	94914	154860
380	95108	154520
381	95307	154188
382	95508	153861
383	95766	153624
384	96000	153351
385	96174	152981
386	96439	152757
387	96726	152569
388	96930	152248
389	97162	151972
390	97396	151699
391	97662	151477
392	97978	151330
393	98191	151024
394	98488	150849
395	98748	150616
396	98978	150337
397	99204	150053
398	99449	149797
399	99639	149459
400	99913	149246
401	100160	148995
402	100415	148753
403	100640	148470
404	100918	148263
405	101130	147959
406	101411	147756
407	101609	147433
408	101874	147207
409	102085	146903
410	102266	146556
411	102483	146262
412	102757	146049
413	103032	145838
414	103291	145604
415	103584	145416
416	103792	145110
417	104007	144814
418	104210	144501
419	104451	144242
420	104671	143954
421	104870	143638
422	105111	143379
423	105331	143092
424	105521	142764
425	105731	142463
426	105971	142204
427	106194	141923
428	106411	141633
429	106592	141297
430	106823	141026
431	107055	140758
432	107274	140472
433	107490	140182
434	107762	139966
435	107961	139657
436	108145	139326
437	108399	139087
438	108650	138845
439	108893	138591
440	109140	138343
441	109376	138081
442	109619	137828
443	109826	137530
444	110090	137304
445	110326	137042
446	110547	136762
447	110813	136537
448	111025	136247
449	111261	135985
450	111485	135710
451	111771	135510
452	111994	135234
453	112248	134995
454	112500	134753
455	112671	134414
456	112950	134206
457	113180	133938
458	113395	133654
459	113626	133387
460	113861	133126
461	114070	132835
462	114288	132554
463	114537	132310
464	114833	132120
465	115062	131853
466	115301	131597
467	115541	131341
468	115728	131027
469	115928	130728
470	116139	130441
471	116369	130176
472	116589	129899
473	116806	129620
474	117080	129404
475	117343	129176
476	117550	128886
477	117771	128611
478	118007	128355
479	118225	128077
480	118411	127766
481	118644	127506
482	118881	127249
483	119115	126990
484	119352	126734
485	119657	126551
486	119933	126336
487	120160	126070
488	120420	125838
489	120663	125588
490	120916	125349
491	121184	125125
492	121463	124912
493	121721	124678
494	121946	124409
495	122275	124247
496	122495	123974
497	122674	123660
498	122949	123442
499	123166	123166
500	123393	122901
501	123590	122605
502	123833	122356
503	124033	122064
504	124330	121868
505	124514	121561
506	124770	121325
507	125035	121097
508	125239	120810
509	125479	120558
510	125683	120272
511	125887	119986
512	126148	119755
513	126360	119476
514	126557	119185
515	126773	118911
516	127025	118672
517	127300	118453
518	127580	118239
519	127850	118015
520	128109	117782
521	128389	117567
522	128605	117293
523	128911	117102
524	129104	116809
525	129360	116572
526	129613	116332
527	129803	116036
528	130047	115788
529	130273	115525
530	130537	115295
531	130744	115015
532	130986	114766
533	131200	114493
534	131394	114202
535	131598	113921
536	131827	113661
537	132058	113402
538	132305	113159
539	132574	112933
540	132872	112733
541	133079	112454
542	133348	112228
543	133637	112019
544	133891	111780
545	134165	111558
546	134347	111260
547	134635	111050
548	134848	110777
549	135086	110525
550	135272	110231
551	135508	109977
552	135754	109733
553	135994	109483
554	136203	109208
555	136419	108939
556	136595	108638
557	136824	108380
558	137090	108151
559	137296	107876
560	137569	107652
561	137844	107430
562	138074	107173
563	138369	106966
564	138594	106705
565	138844	106464
566	139124	106245
567	139357	105990
568	139570	105720
569	139809	105470
570	140038	105212
571	140238	104933
572	140429	104648
573	140659	104391
574	140889	104135
575	141113	103875
576	141357	103629
577	141585	103372
578	141772	103084
579	142002	102829
580	142234	102575
581	142461	102317
582	142684	102057
583	142975	101845
584	143184	101575
585	143368	101287
586	143640	101062
587	143898	100827
588	144167	100598
589	144429	100366
590	144673	100120
591	144892	99858
592	145097	99586
593	145287	99304
594	145498	99036
595	145757	98802
596	145992	98551
597	146197	98279
598	146404	98010
599	146662	97775
600	146921	97540
601	147152	97286
602	147387	97036
603	147617	96782
604	147806	96501
605	148026	96241
606	148218	95963
607	148477	95728
608	148716	95481
609	148926	95215
610	149112	94933
611	149348	94685
612	149520	94395
613	149758	94147
614	149962	93878
615	150190	93625
616	150508	93427
617	150763	93190
618	151009	92947
619	151227	92687
620	151442	92425
621	151714	92199
622	151987	91973
623	152207	91714
624	152449	91469
625	152669	91211
626	152874	90944
627	153059	90666
628	153296	90417
629	153541	90175
630	153735	89902
631	153940	89636
632	154205	89405
633	154449	89161
634	154732	88940
635	155037	88732
636	155231	88459
637	155427	88189
638	155744	87986
639	156001	87750
640	156214	87489
641	156452	87242
642	156681	86991
643	156876	86720
644	157130	86482
645	157346	86224
646	157604	85988
647	157857	85749
648	158081	85495
649	158286	85231
650	158532	84988
651	158748	84730
652	158938	84459
653	159158	84203
654	159368	83942
655	159551	83667
656	159765	83409
657	159943	83131
658	160135	82862
659	160365	82612
660	160553	82341
661	160777	82088
662	160975	81823
663	161200	81571
664	161431	81322
665	161624	81055
666	161828	80793
667	162016	80523
668	162240	80271
669	162454	80014
670	162670	79759
671	162877	79499
672	163117	79256
673	163321	78995
674	163560	78751
675	163833	78523
676	164110	78298
677	164376	78066
678	164617	77823
679	164860	77581
680	165127	77350
681	165339	77093
682	165559	76840
683	165822	76608
684	166078	76371
685	166305	76122
686	166513	75864
687	166723	75607
688	166944	75355
689	167192	75115
690	167455	74882
691	167687	74635
692	167894	74377
693	168121	74128
694	168343	73877
695	168523	73608
696	168729	73349
697	168953	73100
698	169194	72857
699	169421	72609
700	169632	72354
701	169907	72125
702	170182	71897
703	170517	71695
704	170778	71460
705	170973	71198
706	171212	70955
707	171438	70706
708	171677	70462
709	171898	70212
710	172112	69958
711	172355	69716
712	172582	69468
713	172822	69225
714	173092	68994
715	173290	68735
716	173539	68495
717	173829	68273
718	174062	68027
719	174361	67807
720	174605	67565
721	174823	67314
722	175091	67082
723	175341	66842
724	175517	66575
725	175736	66324
726	176022	66099
727	176193	65830
728	176469	65601
729	176740	65369
730	177055	65154
731	177306	64915
732	177567	64680
733	177774	64425
734	177996	64175
735	178278	63947
736	178477	63690
737	178703	63442
738	178944	63199
739	179216	62968
740	179458	62725
741	179668	62472
742	179872	62216
743	180062	61957
744	180297	61712
745	180535	61469
746	180738	61214
747	180939	60958
748	181112	60693
749	181383	60461
750	181613	60215
751	181825	59963
752	182059	59719
753	182269	59467
754	182545	59236
755	182730	58976
756	182967	58733
757	183196	58487
758	183418	58239
759	183663	57998
760	183855	57741
761	184130	57510
762	184374	57269
763	184645	57036
764	184889	56796
765	185112	56548
766	185313	56294
767	185532	56046
768	185757	55799
769	185938	55540
770	186151	55290
771	186389	55047
772	186614	54801
773	186880	54567
774	187118	54324
775	187380	54089
776	187601	53841
777	187860	53605
778	188146	53376
779	188357	53126
780	188624	52892
781	188894	52658
782	189201	52435
783	189454	52196
784	189706	51957
785	189948	51716
786	190199	51477
787	190460	51240
788	190659	50987
789	190880	50740
790	191167	50510
791	191366	50257
792	191573	50007
793	191769	49753
794	191995	49508
795	192243	49268
796	192493	49029
797	192700	48778
798	192884	48522
799	193118	48279
800	193292	48021
801	193544	47782
802	193743	47531
803	193951	47281
804	194204	47043
805	194454	46804
806	194658	46554
807	194909	46315
808	195182	46081
809	195442	45844
810	195656	45596
811	195903	45356
812	196116	45109
813	196331	44862
814	196527	44610
815	196767	44369
816	197057	44138
817	197325	43903
818	197522	43652
819	197833	43426
820	198106	43192
821	198329	42947
822	198552	42702
823	198802	42462
824	199075	42228
825	199329	41989
826	199566	41747
827	199840	41512
828	200179	41291
829	200417	41049
830	200679	40812
831	200927	40571
832	201194	40335
833	201450	40096
834	201696	39856
835	201915	39610
836	202149	39367
837	202399	39127
838	202592	38876
839	202822	38632
840	203010	38381
841	203197	38129
842	203485	37897
843	203718	37654
844	203926	37406
845	204176	37166
846	204396	36921
847	204590	36671
848	204813	36427
849	205037	36183
850	205241	35935
851	205537	35703
852	205802	35466
853	206051	35226
854	206271	34981
855	206476	34734
856	206700	34490
857	206998	34258
858	207209	34012
859	207435	33768
860	207693	33530
861	207945	33290
862	208181	33048
863	208395	32803
864	208575	32552
865	208832	32313
866	209007	32062
867	209178	31810
868	209422	31570
869	209707	31335
870	210012	31103
871	210207	30856
872	210412	30609
873	210676	30372
874	210905	30129
875	211110	29883
876	211391	29647
877	211673	29412
878	211935	29174
879	212108	28923
880	212285	28674
881	212466	28425
882	212656	28177
883	212904	27937
884	213113	27692
885	213293	27444
886	213564	27207
887	213754	26960
888	213990	26718
889	214221	26476
890	214504	26241
891	214741	26000
892	214980	25759
893	215173	25512
894	215380	25268
895	215589	25023
896	215771	24776
897	215934	24527
898	216118	24280
899	216407	24045
900	216578	23797
901	216767	23551
902	217022	23312
903	217249	23070
904	217480	22829
905	217720	22589
906	217943	22346
907	218170	22105
908	218475	21871
909	218684	21628
910	218900	21385
911	219116	21142
912	219333	20900
913	219536	20656
914	219709	20410
915	219989	20173
916	220232	19933
917	220534	19699
918	220761	19457
919	220985	19216
920	221202	18973
921	221471	18736
922	221676	18493
923	221950	18255
924	222143	18011
925	222355	17769
926	222572	17527
927	222788	17285
928	223004	17043
929	223212	16800
930	223459	16561
931	223740	16324
932	224021	16087
933	224296	15849
934	224526	15608
935	224720	15365
936	225005	15128
937	225183	14884
938	225490	14648
939	225715	14407
940	225920	14165
941	226150	13924
942	226343	13681
943	226622	13443
944	226884	13204
945	227141	12965
946	227388	12726
947	227608	12484
948	227804	12242
949	228046	12002
950	228230	11759
951	228475	11519
952	228765	11282
953	229053	11044
954	229246	10802
955	229467	10561
956	229701	10320
957	229950	10081
958	230223	9842
959	230393	9599
960	230638	9359
961	230881	9120
962	231064	8877
963	231294	8637
964	231484	8395
965	231739	8156
966	231949	7915
967	232159	7674
968	232386	7434
969	232612	7194
970	232820	6953
971	233060	6713
972	233267	6473
973	233485	6232
974	233705	5992
975	233926	5752
976	234213	5513
977	234445	5273
978	234634	5033
979	234916	4794
980	235120	4553
981	235363	4314
982	235584	4074
983	235847	3834
984	236070	3594
985	236306	3355
986	236586	3116
987	236859	2876
988	237024	2636
989	237235	2396
990	237531	2157
991	237784	1917
992	237994	1677
993	238261	1438
994	238430	1198
995	238649	958
996	238887	718
997	239154	479
998	239432	239
999	239620	0
